age,sex,education,marriage,num_dependents,home_ownership,years_at_address,employment_status,years_employed,annual_income,monthly_income,income_source,has_other_loans,region,limit_bal,current_balance,available_credit,credit_utilization,over_limit_flag,balance_to_limit_6m_avg,utilization_trend,pay_0,pay_2,pay_3,pay_4,pay_5,pay_6,max_pay_delay,num_late_payments,payment_consistency_score,bill_amt1,bill_amt2,bill_amt3,bill_amt4,bill_amt5,bill_amt6,avg_bill_amt,max_bill_amt,bill_volatility,pay_amt1,pay_amt2,pay_amt3,pay_amt4,pay_amt5,pay_amt6,avg_pay_amt,total_paid_6m,pay_to_bill_ratio,credit_score,num_credit_inquiries_6m,num_open_accounts,num_closed_accounts,oldest_account_years,num_delinquencies_2yr,num_public_records,bankruptcy_flag,debt_collection_flag,credit_mix_score,card_type,rewards_program,card_age_months,num_cards_held,primary_card_flag,annual_fee,credit_limit_increase_count,avg_monthly_spend,num_transactions_monthly,avg_transaction_value,cash_advance_usage_pct,cash_advance_count_6m,foreign_transaction_flag,online_transaction_pct,travel_category_spend_pct,grocery_category_spend_pct,restaurant_spend_pct,returned_payment_count,weekend_spend_pct,debt_to_income_ratio,monthly_obligation_ratio,credit_limit_to_income,income_stability_index,net_worth_proxy,spend_to_income_ratio,urban_flag,state_code,zip_income_percentile,app_login_frequency_monthly,paperless_flag,autopay_enrolled,customer_service_calls_6m,dispute_count_1yr,num_cards_held_total_institutions,months_since_last_delinquency,mobile_app_user,email_open_rate,min_pay_flag,spend_to_limit_ratio,payment_to_income_ratio,repeat_late_payer_flag,credit_card_default
64,1,2,2,0,1,3.0,1,3.3,45617.0,3801.0,3,0,4,20000,8128.0,11872.0,0.4064,0,0.4170128049221628,-0.0313,1,0,-1,-1,-1,-1,1,1,0.8333,9292.0,14294.0,9796.0,12061.0,6380.0,8615.0,10073.0,14294.0,2523.88,4820.0,9427.0,2960.0,5161.0,3093.0,5482.0,5157.0,30943.0,0.512,614.0,1,1,6,6.9,2,0,0,0,1,3,1,173,3,0,95,0,6524.0,17,383.76,0.1247,0,1,0.8395,0.1083,0.2945,0.0341,0,0.2723,0.1782,2.6494,0.4384,0.0733,15054.0,1.7159,1,38,0.168,8,1,0,1,0,5,0,1,0.3402,0,0.3262,1.3564,0,0
72,2,2,2,1,1,2.0,1,0.2,184972.0,15414.0,1,0,5,50000,42580.0,7420.0,0.8516,0,0.849626621156196,-0.0082,5,2,0,0,-2,0,5,2,0.6667,22819.0,9161.0,5956.0,6469.0,5797.0,33021.0,13870.0,33021.0,10421.13,18573.0,4309.0,3785.0,2956.0,4259.0,6054.0,6656.0,39936.0,0.4799,677.0,0,4,9,19.6,0,0,0,0,3,1,1,2,1,0,95,0,10509.0,12,875.75,0.0855,1,0,0.387,0.1554,0.1125,0.2264,0,0.5128,0.2302,0.8998,0.2703,0.0038,3699.0,0.6817,1,8,0.52,12,1,0,0,1,4,55,1,0.4491,0,0.2102,0.4318,1,0
23,1,3,2,2,1,4.6,1,5.3,21289.0,1774.0,1,1,4,50000,21855.0,28145.0,0.4371,0,0.4686802825601502,-0.0611,8,0,-1,1,-1,-2,8,2,0.6667,16852.0,7443.0,12447.0,19405.0,21707.0,21881.0,16622.0,21881.0,5212.12,15422.0,6956.0,8347.0,5584.0,19957.0,17291.0,12260.0,73557.0,0.7376,696.0,3,4,5,10.9,1,0,0,0,3,1,1,59,6,1,95,1,12595.0,28,449.82,0.0142,0,0,0.677,0.2025,0.4471,0.1035,1,0.3838,1.0265,9.3645,2.3485,1.0,11283.0,7.0958,1,43,0.9134,10,1,1,2,1,5,63,1,0.5474,0,0.2519,6.907,0,1
57,1,2,2,2,1,6.1,1,12.8,150901.0,12575.0,1,1,1,20000,13820.0,6180.0,0.691,0,0.7962570174859125,-0.0404,0,0,0,3,4,1,4,3,0.5,8569.0,1068.0,9981.0,7744.0,1356.0,5498.0,5703.0,9981.0,3442.45,6080.0,948.0,4892.0,4017.0,428.0,2107.0,3079.0,18472.0,0.5399,631.0,0,6,7,4.5,1,0,0,0,5,3,1,200,2,1,95,0,4859.0,12,404.92,0.0769,2,1,0.2907,0.0147,0.5001,0.3603,3,0.4868,0.0916,0.4535,0.1325,0.3368,193153.0,0.3864,1,36,0.8676,14,1,0,0,0,4,44,1,0.1256,0,0.2429,0.2448,1,0
71,2,4,1,1,0,6.6,1,4.7,72323.0,6027.0,1,1,3,20000,3906.0,16094.0,0.1953,0,0.2380373341712746,0.0545,-1,-2,-1,0,-2,-1,0,0,1.0,6767.0,4520.0,3877.0,8354.0,3451.0,2218.0,4864.0,8354.0,2077.33,1430.0,2320.0,2092.0,4688.0,2467.0,1966.0,2494.0,14963.0,0.5127,619.0,3,7,2,14.9,0,0,0,0,5,3,0,27,4,0,450,0,4824.0,12,402.0,0.0899,0,0,0.5415,0.1829,0.1565,0.2429,1,0.5499,0.054,0.8069,0.2765,0.0904,33992.0,0.8003,0,4,0.9882,10,1,0,1,0,7,0,1,0.1677,0,0.2412,0.4137,0,1
59,2,2,2,1,2,0.0,1,3.2,51884.0,4324.0,1,0,3,200000,32480.0,167520.0,0.1624,0,0.061818992416678,-0.0478,-1,-1,0,-1,5,-1,5,1,0.8333,131151.0,69436.0,51390.0,45807.0,129147.0,44691.0,78604.0,131151.0,37341.15,43300.0,26752.0,36972.0,38564.0,62043.0,28718.0,39392.0,236349.0,0.5011,727.0,1,12,2,2.5,0,0,0,0,2,2,0,222,1,1,195,1,53472.0,15,3564.8,0.0377,0,0,0.6231,0.4194,0.2555,0.2732,0,0.7099,0.626,18.1743,3.8547,0.08,16603.0,12.3635,1,25,0.8922,12,1,1,1,1,1,50,0,0.2399,0,0.2674,9.108,0,1
38,1,1,1,2,2,2.2,1,15.3,94454.0,7871.0,1,1,4,50000,15700.0,34300.0,0.314,0,0.3310298498977248,0.0106,-1,3,0,-1,-1,0,3,1,0.8333,23084.0,13889.0,19710.0,19260.0,33569.0,35234.0,24124.0,35234.0,7763.36,16738.0,5566.0,18859.0,6646.0,14716.0,12866.0,12565.0,75391.0,0.5209,738.0,1,13,9,19.8,0,0,0,1,3,1,0,182,5,1,0,0,23466.0,18,1303.67,0.0404,1,0,0.5191,0.0379,0.1216,0.3562,0,0.2225,0.1662,3.0645,0.5294,0.8053,144515.0,2.9809,1,5,0.1927,6,1,1,2,0,7,0,1,0.2564,0,0.4693,1.5962,0,0
70,1,1,1,2,2,0.1,1,4.0,126552.0,10546.0,1,0,1,10000,3833.0,6167.0,0.3833,0,0.4254577629761045,0.0608,-1,-1,0,0,0,0,0,0,1.0,2248.0,3845.0,1314.0,7162.0,2682.0,5153.0,3734.0,7162.0,1955.69,1878.0,1769.0,551.0,1683.0,2148.0,3396.0,1904.0,11425.0,0.5099,786.0,1,1,2,16.5,0,0,0,0,1,1,1,112,1,1,95,1,2533.0,19,133.32,0.1363,0,0,0.5111,0.3357,0.5257,0.5315,2,0.2891,0.0303,0.354,0.079,0.0784,50621.0,0.2402,1,24,0.4318,5,0,1,0,0,5,5,1,0.3227,0,0.2533,0.1805,0,0
46,1,2,1,0,1,3.1,3,1.1,61858.0,5155.0,1,1,2,200000,97440.0,102560.0,0.4872,0,0.4478520566368029,0.0328,-1,0,3,0,-1,0,3,1,0.8333,40085.0,69670.0,20008.0,110611.0,121041.0,81132.0,73758.0,121041.0,35795.36,29766.0,38280.0,9679.0,78131.0,94762.0,47805.0,49737.0,298423.0,0.6743,778.0,1,11,8,1.4,1,0,0,0,1,2,0,164,2,1,95,3,73947.0,12,6162.25,0.1009,2,0,0.5621,0.064,0.0413,0.231,0,0.4067,1.5752,14.3053,3.2332,0.0407,6804.0,14.3419,1,15,0.7572,3,1,1,0,0,6,0,0,0.7091,0,0.3697,9.6464,0,1
40,1,2,1,1,1,13.8,4,1.3,22404.0,1867.0,4,1,3,50000,25210.0,24790.0,0.5042,0,0.4563515639518101,-0.0406,-1,6,0,-1,0,0,6,1,0.8333,33919.0,12835.0,9306.0,4614.0,9290.0,43723.0,18948.0,43723.0,14531.63,16989.0,9531.0,7501.0,952.0,7969.0,13631.0,9429.0,56573.0,0.4976,696.0,1,6,4,20.5,0,0,0,0,3,3,1,1,2,1,95,2,16391.0,13,1260.85,0.0198,1,0,0.7034,0.2504,0.8136,0.4474,0,0.0993,1.1252,10.1435,2.2316,0.0619,2913.0,8.7746,0,1,0.77,9,0,1,0,2,5,3,1,0.4555,0,0.3278,5.0476,0,0
27,2,3,2,2,1,2.1,1,1.9,43170.0,3598.0,3,0,3,100000,2230.0,97770.0,0.0223,0,-0.0104324213038603,-0.0266,-2,0,0,1,-1,0,1,1,0.8333,15049.0,22411.0,25771.0,28402.0,43192.0,10999.0,24304.0,43192.0,10343.79,12149.0,9745.0,18601.0,11146.0,35789.0,4583.0,15336.0,92013.0,0.631,574.0,0,10,3,0.5,0,0,0,0,4,2,0,18,5,1,195,0,16844.0,12,1403.67,0.1164,2,0,0.8664,0.0078,0.4736,0.6373,0,0.4831,0.0517,6.753,2.3164,0.2375,8202.0,4.6802,1,7,0.4056,7,1,0,0,1,9,6,1,0.3621,0,0.1684,4.2612,0,0
64,2,2,2,2,0,5.4,1,2.4,112081.0,9340.0,1,1,1,100000,22190.0,77810.0,0.2219,0,0.1259878420403757,-0.0204,0,0,-1,-1,0,0,0,0,1.0,44235.0,19732.0,26536.0,48705.0,9312.0,18912.0,27905.0,48705.0,14110.01,30105.0,12606.0,8276.0,31057.0,3736.0,6462.0,15374.0,92242.0,0.5509,724.0,1,11,7,9.3,0,0,0,0,4,3,0,48,6,1,550,2,26427.0,10,2642.7,0.0412,1,0,0.3447,0.4539,0.3552,0.2115,0,0.232,0.198,2.9874,0.8922,0.0533,26899.0,2.8291,1,11,0.006,6,1,0,1,0,2,0,0,0.6741,0,0.2643,1.6459,0,0
28,2,1,2,0,1,10.9,1,7.0,153045.0,12754.0,1,1,1,30000,10521.0,19479.0,0.3507,0,0.3432611306050218,0.0249,-1,1,3,0,-1,-1,3,2,0.6667,12188.0,4476.0,5223.0,6543.0,4706.0,12285.0,7570.0,12285.0,3363.92,7111.0,3209.0,3583.0,3768.0,2448.0,9009.0,4855.0,29128.0,0.6413,695.0,3,4,5,7.4,0,0,0,0,2,1,1,194,6,1,450,1,7613.0,18,422.94,0.0326,0,0,0.8412,0.3234,0.33,0.0957,2,0.7259,0.0687,0.5935,0.196,0.7778,107132.0,0.5969,1,38,0.6576,11,0,1,1,0,9,11,1,0.1227,0,0.2538,0.3806,0,0
55,1,1,2,2,0,3.5,1,9.3,75235.0,6270.0,1,0,5,30000,8019.0,21981.0,0.2673,0,0.1897762905360747,0.0464,-1,-1,0,-1,0,-1,0,0,1.0,7984.0,10524.0,11527.0,3646.0,8162.0,14160.0,9334.0,14160.0,3293.05,3995.0,6399.0,4181.0,2189.0,6282.0,8893.0,5323.0,31939.0,0.5703,635.0,1,11,2,9.0,0,0,0,0,5,1,1,184,5,1,195,2,7748.0,18,430.44,0.211,0,0,0.8682,0.0415,0.0524,0.1668,0,0.5356,0.1066,1.4884,0.3987,0.2583,69969.0,1.2355,1,9,0.634,8,1,0,3,0,4,56,1,0.4928,0,0.2583,0.8488,0,0
37,2,2,2,0,1,7.8,1,6.2,50872.0,4239.0,1,0,5,150000,30300.0,119700.0,0.202,0,0.1999654622351334,-0.0377,-1,1,-1,0,-1,4,4,2,0.6667,50343.0,76167.0,94322.0,33856.0,56508.0,91510.0,67118.0,94322.0,22050.11,14147.0,35130.0,84532.0,25236.0,44083.0,48066.0,41866.0,251194.0,0.6238,610.0,0,7,2,8.3,0,0,0,0,5,1,1,27,3,1,0,0,42828.0,14,3059.14,0.0933,1,0,0.2423,0.0346,0.4437,0.3088,0,0.2434,0.5956,15.8297,2.9485,0.3444,31541.0,10.1009,1,15,0.9787,6,0,0,2,0,7,0,1,0.3952,0,0.2855,9.8741,0,1
60,1,2,1,1,1,8.3,1,0.6,29626.0,2469.0,1,1,3,30000,18225.0,11775.0,0.6075,0,0.6128170374888743,-0.0316,3,2,-1,0,0,-1,3,2,0.6667,5570.0,1116.0,5026.0,5739.0,11739.0,3867.0,5510.0,11739.0,3191.07,4246.0,648.0,3982.0,4536.0,5679.0,1433.0,3421.0,20524.0,0.6209,720.0,1,10,4,8.0,0,0,0,0,3,1,1,162,4,1,0,3,4099.0,16,256.19,0.1,2,0,0.8205,0.0367,0.307,0.2404,0,0.5647,0.6151,2.2308,1.0126,0.0146,1778.0,1.6595,1,44,0.0093,12,1,0,1,0,1,68,0,0.6008,0,0.1366,1.385,1,0
